AREA_NM,EXTRC_KWRD_CN,KWRD_FQ_CO
제주특별자치도,서비스,666
제주특별자치도,숙박,644
제주특별자치도,아침,636
제주특별자치도,편안,629
제주특별자치도,화장실,581
제주특별자치도,소리,550
제주특별자치도,시내,532
전라도,뷰,1091
전라도,위치,962
전라도,여수,833
전라도,만족,832
전라도,여행,799
전라도,친절,706
전라도,조식,695
전라도,시설,677
전라도,직원,658
전라도,객실,655
전라도,가격,468
전라도,방문,397
전라도,가족,391
전라도,최고,372
전라도,바다,351
전라도,청결,343
전라도,추천,323
전라도,침대,297
전라도,오션,270
전라도,수영장,268
전라도,상태,257
전라도,주변,235
전라도,숙박,235
전라도,화장실,220
전라도,전망,220
전라도,서비스,210
전라도,컨디션,209
전라도,주차,201
전라도,아침,196
전라도,청소,194
경상도,시설,1657
경상도,조식,1586
경상도,만족,1544
경상도,가격,1487
경상도,여행,1397
경상도,친절,1314
경상도,직원,1191
경상도,객실,1162
경상도,위치,961
경상도,가족,822
경상도,뷰,629
경상도,침대,610
경상도,상태,587
경상도,방문,580
경상도,청결,560
경상도,화장실,512
경상도,숙박,508
경상도,주변,503
경상도,청소,493
경상도,추천,487
경상도,방음,471
경상도,최고,462
경상도,아침,457
경상도,주차,451
경상도,편안,445
경상도,소리,441
경상도,대명,417
경상도,코오롱,397
경상도,서비스,396
경상도,느낌,389
울산광역시,주차,258
울산광역시,만족,182
울산광역시,조식,176
울산광역시,친절,172
울산광역시,주차장,159
울산광역시,직원,151
울산광역시,시설,122
울산광역시,위치,110
울산광역시,객실,98
울산광역시,가격,98
울산광역시,침대,79
울산광역시,숙박,78
울산광역시,침구,76
울산광역시,청결,63
울산광역시,차,61
울산광역시,뷰,56
울산광역시,방문,55
울산광역시,공간,53
울산광역시,전반,53
울산광역시,여행,52
울산광역시,서비스,51
울산광역시,부족,51
울산광역시,최고,50
울산광역시,편안,50
울산광역시,컨디션,47
울산광역시,방음,47
울산광역시,외부,47
울산광역시,추천,46
울산광역시,청소,46
울산광역시,원,45
충청도,친절,284
충청도,시설,243
충청도,직원,215
충청도,만족,206
충청도,객실,193
충청도,충주,161
충청도,아울렛,136
충청도,가격,132
충청도,침대,131
충청도,주차,121
충청도,방문,120
충청도,조식,116
충청도,주변,114
충청도,주차장,99
충청도,청결,89
충청도,여행,88
충청도,냄새,83
충청도,로비,82
충청도,위치,80
충청도,상태,72
충청도,최고,71
충청도,청소,69
충청도,화장실,68
충청도,아침,67
충청도,건물,64
충청도,추천,63
충청도,뷰,62
충청도,편안,58
충청도,가족,58
충청도,서비스,57
강원도,뷰,1374
강원도,만족,1074
강원도,시설,1073
강원도,친절,1034
강원도,여행,985
강원도,조식,983
강원도,직원,980
강원도,객실,938
강원도,설악산,869
강원도,위치,866
강원도,속초,858
강원도,최고,789
강원도,가격,779
강원도,바다,698
강원도,방문,640
강원도,가족,575
강원도,주차,540
강원도,추천,479
강원도,정원,438
강원도,상태,425
강원도,청결,411
강원도,주변,411
강원도,침대,396
강원도,화장실,342
강원도,느낌,333
강원도,전망,302
강원도,아침,302
강원도,컨디션,301
강원도,청소,297
강원도,주차장,285
경기도,시설,773
경기도,만족,641
경기도,친절,590
경기도,방문,513
경기도,직원,479
경기도,곤지암,466
경기도,객실,450
경기도,가족,409
경기도,여행,384
경기도,가격,364
경기도,최고,328
경기도,조식,316
경기도,숲,311
경기도,뷰,302
경기도,주변,284
경기도,청결,260
경기도,침대,245
경기도,화장실,221
경기도,냄새,213
경기도,상태,213
경기도,추천,210
경기도,위치,206
경기도,컨디션,192
경기도,서비스,176
경기도,숙박,174
경기도,주차,168
경기도,가능,162
경기도,사람,162
경기도,편안,158
경기도,수영장,156
